"","coef.lower","coef.upper","p","shape.min","shape.max"
"1",0.25,0.75,0.05,740,940
"11",0.75,1.25,0.05,240,740
"21",1.25,1.75,0.05,150,210
"31",1.75,2.25,0.05,74,150
"41",2.25,2.75,0.05,50,80
"51",2.75,3.25,0.05,39,49
"61",3.25,3.75,0.05,29,39
"71",3.75,4.25,0.05,23,30
"81",4.25,4.75,0.05,17,23
"91",4.75,5.25,0.05,15,18.5
"101",5.25,5.75,0.05,13,15.5
"111",5.75,6.25,0.05,11,13
"121",6.25,6.75,0.05,9.5,11
"131",6.75,7.25,0.05,8.3,10.3
"141",7.25,7.75,0.05,7,8.5
"151",7.75,8.25,0.05,6.5,8.3
"161",8.25,8.75,0.05,5.3,7.3
"171",8.75,9.25,0.05,5.3,5.95
"181",9.25,9.75,0.05,4.8,5.5
"191",9.75,10.25,0.05,4.4,5
"201",10.25,10.75,0.05,4,4.8
"2",0.25,0.75,0.1,340,490
"12",0.75,1.25,0.1,130,340
"22",1.25,1.75,0.1,60,130
"32",1.75,2.25,0.1,39,64
"42",2.25,2.75,0.1,24,40
"52",2.75,3.25,0.1,19,28
"62",3.25,3.75,0.1,15,20
"72",3.75,4.25,0.1,11,16
"82",4.25,4.75,0.1,9,12
"92",4.75,5.25,0.1,7.3,9.3
"102",5.25,5.75,0.1,6.3,8
"112",5.75,6.25,0.1,5.7,7
"122",6.25,6.75,0.1,4.85,6.3
"132",6.75,7.25,0.1,4.3,4.85
"142",7.25,7.75,0.1,3.8,5
"152",7.75,8.25,0.1,3.3,3.8
"162",8.25,8.75,0.1,2.8,3.4
"172",8.75,9.25,0.1,2.8,3.05
"182",9.25,9.75,0.1,2.55,2.8
"192",9.75,10.25,0.1,2.35,2.55
"202",10.25,10.75,0.1,2.2,2.8
"3",0.25,0.75,0.15,240,490
"13",0.75,1.25,0.15,84,210
"23",1.25,1.75,0.15,44,84
"33",1.75,2.25,0.15,24,44
"43",2.25,2.75,0.15,18,26
"53",2.75,3.25,0.15,13,19
"63",3.25,3.75,0.15,9,13
"73",3.75,4.25,0.15,7.3,10.3
"83",4.25,4.75,0.15,6,8
"93",4.75,5.25,0.15,5,6.5
"103",5.25,5.75,0.15,4,6
"113",5.75,6.25,0.15,3.8,5
"123",6.25,6.75,0.15,3.3,3.8
"133",6.75,7.25,0.15,2.9,3.3
"143",7.25,7.75,0.15,2.6,3.3
"153",7.75,8.25,0.15,2.3,2.8
"163",8.25,8.75,0.15,2.1,2.3
"173",8.75,9.25,0.15,1.8,2.1
"183",9.25,9.75,0.15,1.8,1.9
"193",9.75,10.25,0.15,1.6,1.8
"203",10.25,10.75,0.15,1.5,1.7
"4",0.25,0.75,0.2,170,490
"14",0.75,1.25,0.2,64,170
"24",1.25,1.75,0.2,34,64
"34",1.75,2.25,0.2,19,34
"44",2.25,2.75,0.2,13,20
"54",2.75,3.25,0.2,10,15
"64",3.25,3.75,0.2,7,10.3
"74",3.75,4.25,0.2,5,7.3
"84",4.25,4.75,0.2,4.9,6.3
"94",4.75,5.25,0.2,3.8,5
"104",5.25,5.75,0.2,3.4,4
"114",5.75,6.25,0.2,2.8,3.8
"124",6.25,6.75,0.2,2.3,3
"134",6.75,7.25,0.2,2.2,2.6
"144",7.25,7.75,0.2,2,2.3
"154",7.75,8.25,0.2,1.8,2.1
"164",8.25,8.75,0.2,1.6,1.8
"174",8.75,9.25,0.2,1.5,1.65
"184",9.25,9.75,0.2,1.4,1.6
"194",9.75,10.25,0.2,1.25,1.4
"204",10.25,10.75,0.2,1.15,1.4
"5",0.25,0.75,0.25,150,490
"15",0.75,1.25,0.25,54,150
"25",1.25,1.75,0.25,24,49
"35",1.75,2.25,0.25,15,28
"45",2.25,2.75,0.25,11,16
"55",2.75,3.25,0.25,7.3,11
"65",3.25,3.75,0.25,6,8
"75",3.75,4.25,0.25,4.8,6.3
"85",4.25,4.75,0.25,3.8,5
"95",4.75,5.25,0.25,3.3,3.9
"105",5.25,5.75,0.25,2.7,3.3
"115",5.75,6.25,0.25,2.3,2.8
"125",6.25,6.75,0.25,2,2.3
"135",6.75,7.25,0.25,1.8,2.1
"145",7.25,7.75,0.25,1.6,1.9
"155",7.75,8.25,0.25,1.4,1.7
"165",8.25,8.75,0.25,1.3,1.5
"175",8.75,9.25,0.25,1.2,1.35
"185",9.25,9.75,0.25,1.1,1.4
"195",9.75,10.25,0.25,1,1.2
"205",10.25,10.75,0.25,0.9,1.05
"6",0.25,0.75,0.3,130,490
"16",0.75,1.25,0.3,44,130
"26",1.25,1.75,0.3,22,44
"36",1.75,2.25,0.3,13,22
"46",2.25,2.75,0.3,8.3,13
"56",2.75,3.25,0.3,6.6,10
"66",3.25,3.75,0.3,5,7.3
"76",3.75,4.25,0.3,3.8,5.1
